ESTRATÉGIA ASSIMETRIA DE BAIXA;ASSIMETRIA ONLY;ENTROPIA ONLY;ESTRATÉGIA COM ASSIMETRIA DE ALTA;Data
1,042853602;1,035739949;1,062965558;0,901002356;16/07/2012
1,050914883;1,042297965;1,07258623;0,902453137;17/07/2012
1,05424396;1,046140514;1,075903543;0,910989856;18/07/2012
1,062061958;1,055639719;1,084458362;0,923568853;19/07/2012
1,056345234;1,050655232;1,073325039;0,906187168;20/07/2012
1,041804538;1,038609788;1,057600126;0,894019952;23/07/2012
1,037853391;1,038862588;1,057844909;0,892949945;24/07/2012
1,048192177;1,051432429;1,062308425;0,889408318;25/07/2012
1,061892405;1,063422193;1,08137062;0,908434234;26/07/2012
1,090067828;1,088679677;1,110426878;0,938245931;27/07/2012
1,10432664;1,097895786;1,126874881;0,956110855;30/07/2012
1,104461166;1,093671209;1,118661295;0,946622034;31/07/2012
1,092366997;1,082470238;1,110362434;0,950137061;01/08/2012
1,093153648;1,087598354;1,105309739;0,930014778;02/08/2012
1,104960867;1,100231748;1,11839298;0,949072455;03/08/2012
1,115260619;1,111152122;1,133013976;0,961064577;06/08/2012
1,110529786;1,105271771;1,131430909;0,960767322;07/08/2012
1,11017998;1,105765732;1,135437471;0,963053207;08/08/2012
1,112450348;1,105747367;1,138752908;0,973454732;09/08/2012
1,117818292;1,110015847;1,141887191;0,977212031;10/08/2012
1,120202273;1,106887415;1,14348485;0,979887354;13/08/2012
1,124066808;1,107336264;1,147648858;0,978970409;14/08/2012
1,128277029;1,113105326;1,145132971;0,973586649;15/08/2012
1,136208171;1,121836948;1,152492938;0,976959815;16/08/2012
1,13274532;1,11870962;1,150067323;0,970016574;17/08/2012
1,131064028;1,117204739;1,1480473;0,971984745;20/08/2012
1,125378;1,111931411;1,145323548;0,976155706;21/08/2012
1,139287087;1,124129064;1,152566777;0,979720974;22/08/2012
1,130579597;1,11566481;1,142642354;0,967720024;23/08/2012
1,135084078;1,118399949;1,146316839;0,96731872;24/08/2012
1,131551307;1,117844217;1,142492146;0,961276372;27/08/2012
